inventory_id,date_added,inventory_number,inventory_name,inventory_description,inventory_order,inventory_size,category_id,inventory_price,inventory_reserved,inventory_image,inventory_userid,inventory_quantity,inventory_manufacturer,inventory_FOB,inventory_detail_page,inventory_owner_email,inventory_make,inventory_model,inventory_year,inventory_serial
1548,0,0-3242,1931,,0,,0,0.00,,,0,0,,,,,FORESTER,PICK UP,,
1549,0,1-0881B2,2010,,0,,0,0.00,,,0,0,,,,,OTHER MAKE,GOLF CART,,
1550,0,1-1086,2007,,0,,0,0.00,,,0,0,,,,,MAZDA,SPORT FISH BOAT,,
1551,0,1-1414,2011,,0,,0,0.00,,,0,0,,,,,CHEVROLET,CAMARO,,
1552,0,1-2155B2,1991,,0,,0,0.00,,,0,0,,,,,JEEP TRUCK,WRANGLER,,
1553,0,1-2429A4,1994,,0,,0,0.00,,,0,0,,,,,MITSUBISHI,GALANT,,
1554,0,1-2556A2,2008,,0,,0,0.00,,,0,0,,,,,NISSAN TRUCK,TITAN,,
1555,0,1-2597A2,2006,,0,,0,0.00,,,0,0,,,,,CHEVROLET TRUCK,SUBURBAN,,
1556,0,1-2625A,2009,,0,,0,0.00,,,0,0,,,,,GMC,CANYON,,
1557,0,1-2662A,2003,,0,,0,0.00,,,0,0,,,,,FORD TRUCK,SUPER DUTY F-55,,
1558,0,1-2752A,2000,,0,,0,0.00,,,0,0,,,,,HONDA,ACCORD CPE,,
1559,0,1-2753A3,2004,,0,,0,0.00,,,0,0,,,,,CHEVROLET,MALIBU,,
1560,0,1-2797A,2006,,0,,0,0.00,,,0,0,,,,,FORD TRUCK,F-150,,
1561,0,1-2824A,2008,,0,,0,0.00,,,0,0,,,,,DODGE,MAGNUM,,
1562,0,1-2831A,2000,,0,,0,0.00,,,0,0,,,,,JEEP,WRANGLER,,
1563,0,1-2842A,2007,,0,,0,0.00,,,0,0,,,,,DODGE,CHARGER,,
1564,0,1-2896A,2005,,0,,0,0.00,,,0,0,,,,,GMC,SIERRA 1500,,
1565,0,1-2902A,2002,,0,,0,0.00,,,0,0,,,,,FORD TRUCK,EXCURSION,,
1566,0,1-2924A2,1992,,0,,0,0.00,,,0,0,,,,,FORD,MUSTANG,,
1567,0,1-2957A,2005,,0,,0,0.00,,,0,0,,,,,CHEVROLET TRUCK,SILVERADO 1500,,
1568,0,1-2979A,2004,,0,,0,0.00,,,0,0,,,,,DODGE,DURANGO,,
1569,0,1-2991A2,2000,,0,,0,0.00,,,0,0,,,,,CADILLAC TRUCK,ESCALADE,,
1570,0,1-2998A,1984,,0,,0,0.00,,,0,0,,,,,OTHER MAKE,300TD,,
1571,0,1-3016A,2006,,0,,0,0.00,,,0,0,,,,,HUMMER,H3,,
1572,0,1-3021A,1996,,0,,0,0.00,,,0,0,,,,,FORD TRUCK,RANGER,,
1573,0,1-3032A,2006,,0,,0,0.00,,,0,0,,,,,LINCOLN TRUCK,NAVIGATOR,,
1574,0,1-3038A,2004,,0,,0,0.00,,,0,0,,,,,FORD TRUCK,EXPLORER,,
1575,0,1-3058A2,2006,,0,,0,0.00,,,0,0,,,,,DODGE TRUCK,RAM 3500,,
1576,0,1-3061A,2006,,0,,0,0.00,,,0,0,,,,,GMC,YUKON DENALI,,
